# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/,,,
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html,,,
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS,,,
# //RETRIEVED: 2024-12-18 13:25:02,,,
# //WARNING,,,
# //WARNING The stage-discharge rating provided in this file should be,,,
# //WARNING considered provisional and subject to change. Stage-discharge,,,
# //WARNING ratings change over time as the channel features that control,,,
# //WARNING the relation between stage and discharge vary. Users are,,,
# //WARNING cautioned to consider carefully the applicability of this,,,
# //WARNING rating before using it for decisions that concern personal or,,,
# //WARNING public safety or operational consequences.,,,
"# //FILE TYPE=""NWIS RATING"" ",,,
"# //DATABASE NUMBER=01 DESCRIPTION="" Standard data base for this site.""",,,
"# //STATION AGENCY=""USGS "" NUMBER=""03049800       "" TIME_ZONE=""EST"" DST_FLAG=Y",,,
"# //STATION NAME=""Little Pine Creek near Etna, PA""",,,
"# //LABEL=""Discharge (ft^3/s)""",,,
"# //PARAMETER CODE=""00060""",,,
"# //RATING SHIFTED=""20241218132502 EST""",,,
"# //RATING ID=""58.0"" TYPE=""STGQ"" NAME=""stage-discharge"" AGING=????",,,
"# //RATING REMARKS=""Same as rating number 57.0 above GH = 5.02 ft., Offset changed to 1.70.   New rating based on measurements 603-615.  """,,,
"# //RATING EXPANSION=""logarithmic""",,,
# //RATING OFFSET1=1.700000E+00,,,
"# //RATING_INDEP ROUNDING=""????"" PARAMETER=""Gage height (ft)""",,,
"# //RATING_DEP ROUNDING=""????"" PARAMETER=""Discharge (ft^3/s)""",,,
# //RATING_DATETIME BEGIN=20180828141500 BZONE=-05:00 END=-------------- EZONE=--- AGING=1,,,
"# //RATING_DATETIME COMMENT=""Same as rating number 57.0 above GH = 5.02 ft., Offset changed to 1.70.   New rating based on measurements 603-615.  """,,,
"# //SHIFT_PREV BEGIN=""20241022104500"" BZONE=""-05:00"" END=""--------------"" EZONE=""---""",,,
"# //SHIFT_PREV STAGE1=""2.30"" SHIFT1=""-0.12"" STAGE2=""3.50"" SHIFT2=""-0.12"" STAGE3=""5.10"" SHIFT3=""0.00""",,,
"# //SHIFT_PREV COMMENT=""Same as rating number 57.0 above GH = 5.02 ft., Offset changed to 1.70.   New rating based on measurements 603-615.  """,,,
"# //SHIFT_NEXT BEGIN=""--------------"" BZONE=""---"" END=""--------------"" EZONE=""---""",,,
"# //SHIFT_NEXT STAGE1=""---"" SHIFT1=""---"" STAGE2=""---"" SHIFT2=""---"" STAGE3=""---"" SHIFT3=""---""",,,
"# //SHIFT_NEXT COMMENT="" """,,,
INDEP,SHIFT,DEP,STOR
16N,16N,16N,1S
Stage_ft,b,Discharge_ft3_s,d
2.14,-0.12,0.01,
2.15,-0.13,0.01,
2.16,-0.14,0.01,
2.17,-0.12,0.02,
2.18,-0.13,0.02,
2.19,-0.14,0.02,
2.2,-0.12,0.03,
2.21,-0.13,0.03,
2.22,-0.12,0.04,
2.23,-0.13,0.04,
2.24,-0.12,0.05,
2.25,-0.13,0.05,
2.26,-0.12,0.06,
2.27,-0.12,0.07,
2.28,-0.12,0.08,
2.29,-0.12,0.09,
2.3,-0.12,0.1,
2.31,-0.12,0.11,
2.32,-0.12,0.12,
2.33,-0.12,0.14,
2.34,-0.12,0.15,
2.35,-0.12,0.17,
2.36,-0.12,0.19,
2.37,-0.12,0.21,
2.38,-0.12,0.23,
2.39,-0.12,0.26,
2.4,-0.12,0.28,
2.41,-0.12,0.31,
2.42,-0.12,0.34,
2.43,-0.12,0.37,
2.44,-0.12,0.41,
2.45,-0.12,0.45,
2.46,-0.12,0.49,
2.47,-0.12,0.54,
2.48,-0.12,0.58,
2.49,-0.12,0.64,
2.5,-0.12,0.69,
2.51,-0.12,0.75,
2.52,-0.12,0.81,
2.53,-0.12,0.88,
2.54,-0.12,0.95,
2.55,-0.12,1.03,
2.56,-0.12,1.11,
2.57,-0.12,1.2,
2.58,-0.12,1.29,
2.59,-0.12,1.39,
2.6,-0.12,1.49,
2.61,-0.12,1.6,
2.62,-0.12,1.72,
2.63,-0.12,1.84,
2.64,-0.12,1.98,
2.65,-0.12,2.12,
2.66,-0.12,2.26,
2.67,-0.12,2.42,
2.68,-0.12,2.58,
2.69,-0.12,2.76,
2.7,-0.12,2.94,
2.71,-0.12,3.13,
2.72,-0.12,3.33,
2.73,-0.12,3.55,
2.74,-0.12,3.77,
2.75,-0.12,4.01,
2.76,-0.12,4.26,
2.77,-0.12,4.52,
2.78,-0.12,4.79,
2.79,-0.12,5.08,
2.8,-0.12,5.38,
2.81,-0.12,5.69,
2.82,-0.12,6.03,
2.83,-0.12,6.37,
2.84,-0.12,6.73,
2.85,-0.12,7.11,
2.86,-0.12,7.51,
2.87,-0.12,7.93,
2.88,-0.12,8.36,
2.89,-0.12,8.81,
2.9,-0.12,9.28,
2.91,-0.12,9.78,
2.92,-0.12,10.29,
